Frame,Label,Area,XM,YM,Major,Minor,Angle
236,1N4148WS_300V_2.avi:15.73 s,0.034,1.164,1.070,0.267,0.162,97.758
237,1N4148WS_300V_2.avi:15.80 s,0.034,1.164,1.074,0.267,0.160,98.006
238,1N4148WS_300V_2.avi:15.86 s,0.034,1.166,1.078,0.267,0.160,98.203
239,1N4148WS_300V_2.avi:15.93 s,0.034,1.167,1.082,0.270,0.162,98.602
240,1N4148WS_300V_2.avi:16.00 s,0.034,1.168,1.086,0.266,0.160,98.289
241,1N4148WS_300V_2.avi:16.06 s,0.034,1.169,1.088,0.268,0.161,97.511
242,1N4148WS_300V_2.avi:16.13 s,0.034,1.171,1.091,0.267,0.162,97.326
243,1N4148WS_300V_2.avi:16.20 s,0.034,1.172,1.094,0.270,0.161,97.275
244,1N4148WS_300V_2.avi:16.26 s,0.033,1.173,1.097,0.267,0.159,96.388
245,1N4148WS_300V_2.avi:16.33 s,0.034,1.175,1.099,0.266,0.161,97.286
246,1N4148WS_300V_2.avi:16.40 s,0.034,1.176,1.101,0.268,0.161,96.693
247,1N4148WS_300V_2.avi:16.46 s,0.034,1.177,1.102,0.267,0.162,95.787
248,1N4148WS_300V_2.avi:16.53 s,0.034,1.178,1.104,0.267,0.160,95.109
249,1N4148WS_300V_2.avi:16.60 s,0.034,1.179,1.105,0.265,0.161,94.792
250,1N4148WS_300V_2.avi:16.66 s,0.034,1.180,1.105,0.264,0.162,94.346
251,1N4148WS_300V_2.avi:16.73 s,0.034,1.182,1.105,0.265,0.162,93.240
252,1N4148WS_300V_2.avi:16.80 s,0.033,1.184,1.105,0.263,0.161,92.525
253,1N4148WS_300V_2.avi:16.86 s,0.034,1.186,1.104,0.266,0.161,92.171
254,1N4148WS_300V_2.avi:16.93 s,0.034,1.188,1.104,0.268,0.160,92.051
255,1N4148WS_300V_2.avi:17.00 s,0.034,1.191,1.102,0.269,0.160,92.178
256,1N4148WS_300V_2.avi:17.06 s,0.034,1.194,1.101,0.266,0.161,91.846
257,1N4148WS_300V_2.avi:17.13 s,0.033,1.197,1.099,0.265,0.161,92.572
258,1N4148WS_300V_2.avi:17.20 s,0.034,1.200,1.096,0.269,0.161,93.635
259,1N4148WS_300V_2.avi:17.26 s,0.034,1.203,1.091,0.267,0.160,93.748
260,1N4148WS_300V_2.avi:17.33 s,0.034,1.206,1.086,0.269,0.161,94.624
261,1N4148WS_300V_2.avi:17.40 s,0.034,1.208,1.081,0.271,0.160,94.666
262,1N4148WS_300V_2.avi:17.46 s,0.034,1.209,1.077,0.265,0.162,95.865
263,1N4148WS_300V_2.avi:17.53 s,0.034,1.210,1.073,0.267,0.162,96.547
264,1N4148WS_300V_2.avi:17.60 s,0.034,1.210,1.067,0.269,0.161,95.533
265,1N4148WS_300V_2.avi:17.66 s,0.034,1.209,1.063,0.268,0.161,95.204
266,1N4148WS_300V_2.avi:17.73 s,0.034,1.209,1.059,0.267,0.162,94.417
267,1N4148WS_300V_2.avi:17.80 s,0.034,1.208,1.057,0.265,0.161,94.347
268,1N4148WS_300V_2.avi:17.86 s,0.034,1.207,1.055,0.270,0.162,94.258
269,1N4148WS_300V_2.avi:17.93 s,0.034,1.206,1.054,0.269,0.161,93.587
270,1N4148WS_300V_2.avi:18.00 s,0.034,1.206,1.054,0.268,0.161,93.525
271,1N4148WS_300V_2.avi:18.06 s,0.034,1.206,1.054,0.268,0.161,93.470
272,1N4148WS_300V_2.avi:18.13 s,0.034,1.205,1.055,0.271,0.161,93.973
273,1N4148WS_300V_2.avi:18.20 s,0.034,1.206,1.056,0.267,0.162,94.660
274,1N4148WS_300V_2.avi:18.26 s,0.034,1.207,1.057,0.266,0.161,95.502
275,1N4148WS_300V_2.avi:18.33 s,0.034,1.208,1.059,0.270,0.160,95.077
276,1N4148WS_300V_2.avi:18.40 s,0.034,1.209,1.061,0.270,0.161,95.343
277,1N4148WS_300V_2.avi:18.46 s,0.034,1.211,1.063,0.267,0.162,95.873
278,1N4148WS_300V_2.avi:18.53 s,0.034,1.213,1.064,0.267,0.160,95.344
279,1N4148WS_300V_2.avi:18.60 s,0.034,1.214,1.065,0.266,0.161,94.514
280,1N4148WS_300V_2.avi:18.66 s,0.034,1.216,1.067,0.268,0.161,94.401
281,1N4148WS_300V_2.avi:18.73 s,0.034,1.217,1.068,0.268,0.161,94.092
282,1N4148WS_300V_2.avi:18.80 s,0.034,1.218,1.070,0.270,0.160,94.271
283,1N4148WS_300V_2.avi:18.86 s,0.034,1.219,1.072,0.267,0.161,93.953
284,1N4148WS_300V_2.avi:18.93 s,0.034,1.220,1.073,0.268,0.162,93.831
285,1N4148WS_300V_2.avi:19.00 s,0.034,1.221,1.072,0.270,0.162,93.416
286,1N4148WS_300V_2.avi:19.06 s,0.034,1.221,1.071,0.269,0.162,93.170
287,1N4148WS_300V_2.avi:19.13 s,0.034,1.222,1.069,0.271,0.161,93.138
288,1N4148WS_300V_2.avi:19.20 s,0.035,1.222,1.067,0.272,0.162,92.699
289,1N4148WS_300V_2.avi:19.26 s,0.034,1.222,1.065,0.269,0.162,93.049
290,1N4148WS_300V_2.avi:19.33 s,0.034,1.222,1.062,0.270,0.162,93.368
291,1N4148WS_300V_2.avi:19.40 s,0.034,1.221,1.059,0.272,0.161,93.205
292,1N4148WS_300V_2.avi:19.46 s,0.034,1.220,1.054,0.269,0.161,93.225
293,1N4148WS_300V_2.avi:19.53 s,0.034,1.221,1.049,0.264,0.162,92.202
294,1N4148WS_300V_2.avi:19.60 s,0.034,1.220,1.045,0.266,0.161,91.746
